Axe_X,Axe_Y,Name,Cluster
-14.369434,-22.58036,Arthur Morgan (personnage de Red dead Redemption 2),Groupe 7
-43.88467,-20.143908,Arya Stark,Groupe 7
-8.834724,23.485336,Asa Akira,Groupe 8
-35.924,-20.602886,Ashitaka (personnaage film d'animation),Groupe 7
0.79134446,-11.217867,Ashura Ãtsutsuki ,Groupe 1
1.9552989,-12.9628,Aspicot (pokemon)  ,Groupe 1
-37.47087,-29.61959,AstÃ©rix (personnage de BD),Groupe 9
-14.097856,-18.302473,Asuna (Sword Art Online),Groupe 7
1.0904657,-13.173571,Atomic Betty ,Groupe 1
-11.0129385,6.6506147,Attila (roi de huns),Groupe 5
36.45801,-13.419262,August Ames (rip),Groupe 5
27.879824,8.67996,Augustin Louis Cauchy (mathÃ©maticien franÃ§ais),Groupe 0
-4.622322,13.280077,Axl Rose (chanteur de Guns N' Roses),Groupe 8
2.7095656,-13.308547,Axoloto ,Groupe 1
7.0331483,32.236008,Aya Nakamura (chanteuse),Groupe 3
1.0417646,-14.135713,Ayano Kannagi ,Groupe 1
6.8380575,34.46336,B2O le duc de Boulogne,Groupe 3
-21.646368,5.7057385,Babar (Ã©lÃ©phant de dessin animÃ©),Groupe 7
10.170527,-0.6411172,Bahamut ,Groupe 1
-29.104382,-9.353175,Balthazar Picsou ,Groupe 4
0.8132911,-11.931852,Balthazar/Cole Turner ,Groupe 1
2.0275397,17.372612,Banksy (artiste brittanique),Groupe 8
26.31052,46.179417,Barack Obama,Groupe 2
-22.042398,4.0880103,Barbapapa,Groupe 7
-13.814581,-25.671278,Bart,Groupe 7
-24.907171,-34.607273,Bart Simpson,Groupe 4
-39.259453,-29.84162,Batman,Groupe 9
-0.34323487,-10.871434,Baxter Stockman ,Groupe 1
-35.174038,-14.318393,Bellatrix Lestrange (perso de Harry Potter),Groupe 7
-25.487663,-31.253,Belle (La Belle et la BÃªte),Groupe 4
-17.568914,-4.282759,Belle et SÃ©bastien,Groupe 1
-17.6012,-4.2846694,Belphegor ,Groupe 1
-11.473332,20.195284,Benedict Cumberbatch,Groupe 8
-2.1309729,30.898304,Benjamin Franklin,Groupe 5
4.813671,21.534138,Benyamin Netanyahou (premier ministre IsraÃ«l)),Groupe 8
25.340466,33.593067,Bernard Hinault (cycliste franÃ§ais),Groupe 8
12.761908,36.3746,Bernard Minet (Chanteur),Groupe 3
24.433325,40.9222,Bernard-Henry LÃ©vy (philosophe imposteur),Groupe 6
13.199334,33.442116,Betrand Cantat,Groupe 3
-6.3240633,17.812794,BeyoncÃ©,Groupe 6
7.8474417,32.8034,Bilal Hassani (chanteur franÃ§ais),Groupe 3
-34.95217,-1.3922224,Bilbon Saquet (hobbit),Groupe 7
-3.595375,10.880883,Bill Clinton (42e prÃ©sident amÃ©ricain),Groupe 8
-4.318875,10.501444,Bill Gates,Groupe 8
-0.5014913,25.304153,Bill Gates (Fondateur de Microsoft),Groupe 6
-36.877846,-20.917313,Black Panther (super hÃ©ros Marvel),Groupe 7
1.6363803,-9.333345,Black Star ,Groupe 1
-22.310452,-35.14557,Blair Waldorf (sÃ©rie TV: Gossip Girl),Groupe 7
24.651876,6.4640055,Blaise Pascal,Groupe 0
-26.53589,-21.271713,Blanche Neige ,Groupe 4
-20.428076,-29.790474,Blondin (le bon la brute et le truand),Groupe 4
-27.074518,-37.0146,Bob l'Ã©ponge (personnage de dessin animÃ©),Groupe 4
-28.400623,-30.951582,Bob le Bricoleur,Groupe 7
5.7516775,41.641613,Bob Lennon (vidÃ©aste franÃ§ais),Groupe 3
39.09267,-0.047286212,Bob Marley,Groupe 6
-22.230133,-2.1240723,Boga (perso animalier de Star Wars),Groupe 7
1.4118736,22.718275,Bonno (Chanteur de U2),Groupe 8
7.103664,35.303516,Booba ,Groupe 3
10.581826,11.077932,Bouna Sarr,Groupe 8
-20.461882,-5.786526,Bowser (jeu vidÃ©o Mario),Groupe 7
-18.769918,-5.924122,Bowser Jr. (jeu vidÃ©o Mario),Groupe 7
-25.776789,-24.435898,Bowsette (hybride Peach & Bowser),Groupe 7
-14.754016,24.02635,Brad Pitt,Groupe 8
-19.17217,-27.798876,Brice de Nice,Groupe 7
7.9857693,-3.2315116,Brienne de Torth ,Groupe 1
19.959938,37.127342,Brigitte Bardot,Groupe 3
20.066517,37.13523,Brigitte Macron,Groupe 3
-37.95314,-14.661325,Broly (manga dragon ball),Groupe 7
35.05229,-10.217629,Bruce Lee,Groupe 5
-14.813239,-33.524765,Bruce Wayne (Batman),Groupe 7
-11.658861,26.98938,Bruce Willis,Groupe 8
0.21504718,-11.433489,Bruno Senna ,Groupe 1
-24.397833,8.631095,Bulbizarre (pokemon),Groupe 7
-26.535551,-0.59614176,C3PO ,Groupe 7
5.5391283,18.541807,Caballero (rappeur),Groupe 8
-18.223549,-1.7912555,Caca (dÃ©esse romaine du foyer et du feu) ,Groupe 7
6.3448606,-24.711393,Caca bouda ,Groupe 1
-14.874096,-0.7054093,CaÃ¯n (premier fils d'Adam et Eve),Groupe 7
2.988114,-7.3319783,Cait Sith ,Groupe 1
-19.291656,4.41653,CalimÃ©ro ,Groupe 7
-3.0686028,20.152962,Cam Newton (joueur amÃ©ricain de football amÃ©ricain),Groupe 8
26.50924,7.691018,Camille Claudel,Groupe 0
-26.74398,-33.022964,Candy,Groupe 4
-17.225302,-22.251175,Capitaine Flam (personnage dessins animÃ©s),Groupe 7
-23.565239,-29.227589,Capitaine Haddock,Groupe 4
-39.769318,-30.907297,Captain America ,Groupe 4
-16.301329,-36.96583,Carl ( personnage de The walking dead ),Groupe 7
-2.7950022,9.765754,Carl Lewis (athlÃ¨te amÃ©ricain),Groupe 8
35.508385,-14.723076,Carl Sagan (scientifique amÃ©ricain),Groupe 5
18.719738,6.2323084,Carlos (Tirelipimpon),Groupe 0
1.966507,50.36295,Carlos Ghosn,Groupe 3
26.607878,7.601339,Caroline Aigle (pilote de chasse),Groupe 0
2.2003078,-6.834457,Caroline Channing ,Groupe 1
34.388023,-14.4197,Carrie Fisher (Actrice de Leia),Groupe 5
-29.34036,0.98120975,cars (personnage voiture dessin animÃ©),Groupe 7
-0.18931586,4.7324266,Cartman ,Groupe 1
-23.969206,-33.408543,Cartman (Personnage de South park),Groupe 7
-25.834795,4.1644073,Casimir (personnage de vieux dessin animÃ©),Groupe 9
-13.876188,-7.0027976,Casper,Groupe 7
0.48281646,-6.5077953,Casquette ,Groupe 1
-47.06088,-17.063576,Castiel,Groupe 7
-7.232902,2.923843,Catherine de Medicis,Groupe 0
22.666157,1.9340829,Cauchy (scientifique),Groupe 0
-0.29688823,-7.846807,CÃ©dric Barbosa ,Groupe 1
1.93566,-7.6148744,CÃ©dric OrlÃ©ans ,Groupe 1
4.2210283,51.280094,CÃ©dric Villani,Groupe 6
7.389658,21.22389,CÃ©line Dion,Groupe 6
25.343243,30.893875,CÃ©line Dumerc ,Groupe 8
-16.856491,-0.763812,Celty Sturluson (Manga Durarara!!),Groupe 7
-29.736004,-16.806843,Cendrillon ,Groupe 4
-43.530666,-10.811805,Cercei Lannister,Groupe 7
-18.17181,-10.704306,cet ordinateur,Groupe 4
-27.149881,-32.42803,Chandler Bing (sÃ©rie tv friends),Groupe 7
-30.077894,-21.531055,Chandra NalaÃ r,Groupe 7
-0.5704583,31.045115,Charlemagne,Groupe 6
20.204456,7.1311603,Charles aznavour,Groupe 0
11.393425,47.152298,Charles Cornet (prof. INSA),Groupe 3
37.87189,-4.15844,Charles Darwin,Groupe 5
35.183033,7.1541095,Charles de Gaulle ,Groupe 2
37.753563,-10.874461,Charles Martel (ArriÃ¨re grand pÃ¨re de Charlemagne),Groupe 5
28.998846,2.382897,Charles Maurras (intellectuel franÃ§ais),Groupe 0
-17.60118,-4.284669,Charles Montgomery (Monty) Burns ,Groupe 1
-8.011301,2.3242116,Charles Spencer Chaplin,Groupe 5
35.692265,-15.811512,Charlie Chaplin,Groupe 5
39.04834,-4.4313116,Charlotte Bronte (ecrivain anglaise),Groupe 5
16.275309,40.003654,Charlotte Richard,Groupe 3
29.98266,-5.947804,Che Guevara,Groupe 5
15.184257,-6.9132195,Cheikh Ndoye,Groupe 8
29.343704,-13.621908,Chester Bennington (chanteur Linkin Park),Groupe 5
19.492529,6.7837,chevalier de Saint-George (escrimeur et musicien franÃ§ais),Groupe 0
-31.718357,-18.227123,Chewbacca,Groupe 7
-1.2312498,-10.547113,Chien ,Groupe 1
-11.456947,-18.1331,Chiiro,Groupe 7
-3.0083146,-9.301693,Chilled (Dragon Ball),Groupe 1
23.764896,-2.3195536,Chopin,Groupe 0
24.678055,33.507595,Christian Fazzino (pÃ©tanqueur),Groupe 8
20.365782,47.383926,Christian Raymond (prof. INSA),Groupe 6
20.72138,39.05369,Christian Taubira (femme politique),Groupe 0
10.274683,32.746845,Christophe MaÃ©,Groupe 3
-3.5062351,22.830053,Christopher Froome (cycliste),Groupe 8
3.0015647,17.591812,Christopher Nolan (rÃ©alisateur britanno-amÃ©ricain),Groupe 8
-40.882835,-32.311466,Chuck Bartowski ,Groupe 7
-9.36597,28.58491,Chuck Norris,Groupe 6
-28.921843,-14.779599,Chun-Li (jeu vidÃ©o Steet-Fighter),Groupe 7
-10.944388,6.7621984,CicÃ©ron (consul Romain),Groupe 5
-1.7392651,-10.212203,Clara Alonso ,Groupe 1
