title,choice,id,parent_id,depth
Ton personnage a-t-il des cheveux ?,o,1927995,1927994,5
Ton personnage a-t-il des cheveux ?,n,1957519,1927994,5
Ton personnage a-t-il des cheveux ?,p,1987043,1927994,5
Ton personnage est-il américain ?,o,2016568,2016567,5
Ton personnage est-il américain ?,n,2046092,2016567,5
Ton personnage porte-t-il des chaussures ?,p,2075616,2016567,5
Ton personnage a-t-il été roi ?,o,2105142,2105141,5
Ton personnage est-il un personnage de série télévisée ?,n,2134666,2105141,5
Ton personnage est-il un personnage de série télévisée ?,p,2164190,2105141,5
Ton personnage est-il un footballeur ?,o,2193715,2193714,5
Ton personnage est-il un personnage de jeu vidéo ?,n,2223239,2193714,5
Ton personnage est-il un personnage de jeu vidéo ?,p,2252763,2193714,5
Ton personnage est-il un personnage de jeu vidéo ?,o,2282288,2282287,5
Ton personnage a-t-il un prénom hors du commun ?,n,2311812,2282287,5
Ton personnage a-t-il un prénom hors du commun ?,p,2341336,2282287,5
Ton personnage est-il décédé ?,p,2065775,2046092,6
Ton personnage est-il américain ?,o,2075617,2075616,6
Ton personnage est-il américain ?,n,2085458,2075616,6
Ton personnage fait-il des combats ?,p,2095299,2075616,6
Ton personnage est-il masculin ?,o,2105143,2105142,6
Ton personnage porte-t-il des chaussures ?,n,2114984,2105142,6
Ton personnage porte-t-il des chaussures ?,p,2124825,2105142,6
Ton personnage a-t-il été roi ?,o,2134667,2134666,6
Ton personnage est-il un tueur ?,n,2144508,2134666,6
Ton personnage fait-il des combats ?,p,2154349,2134666,6
Ton personnage porte-t-il des chaussures ?,o,2164191,2164190,6
Ton personnage est-il un tueur ?,n,2174032,2164190,6
Ton personnage fait-il des combats ?,p,2183873,2164190,6
Ton personnage est-il un personnage de jeu vidéo ?,o,2193716,2193715,6
Ton personnage est-il un personnage de jeu vidéo ?,n,2203557,2193715,6
Ton personnage est-il un personnage de jeu vidéo ?,p,2213398,2193715,6
Ton personnage a-t-il un prénom hors du commun ?,o,2223240,2223239,6
Ton personnage a-t-il un prénom hors du commun ?,n,2233081,2223239,6
Ton personnage a-t-il un prénom hors du commun ?,p,2242922,2223239,6
Ton personnage a-t-il un prénom hors du commun ?,o,2252764,2252763,6
Ton personnage a-t-il un prénom hors du commun ?,n,2262605,2252763,6
Ton personnage a-t-il un prénom hors du commun ?,p,2272446,2252763,6
