Cluster     ,Personage MÈdoid       ,Principale Question
Groupe 0,Hercule Poirot,
Groupe 1, Samir Loussif ,
Groupe 2,Nicolas Sarkozy,
Groupe 3,Escher,
Groupe 4,Julien Dor√© (chanteur),
Groupe 5,Mickey Mouse ,
