Agent 47,Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Ahmed Chawki ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Ahmed mansour ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Ahri (jeu League of Legends),Non Ton personnage est-il un tueur ?,Oui Ton personnage porte-t-il des chaussures ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Aimé Césaire (écrivain),Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Aissa Mandi	 ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? 
Aja Naomi King (actrice américaine),Oui Ton personnage est-il décédé ?,Non Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage est-il américain ?,Non Ton personnage est-il acteur/actrice ?,Non Ton personnage est-il anglais ?
Akinator,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage possède-t-il des armes ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage est-il décédé ?,Non Ton personnage est-il français ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Est-ce que ton personnage est un animal ?,Oui Ton personnage est-il méchant ? 
Al Capone (gangster américain),Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 50 ans ?
Al-Khwarizmi (mathématicien arabe du 10e siècle),Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il décédé ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?
Aladdin,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Est-ce que ton personnage est un animal ?,Oui Ton personnage est-il méchant ? ,Non Ton personnage a-t-il des yeux ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il policier ou détective ?
Alain Delon,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il français ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il acteur/actrice ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il devenu connu grâce à Internet ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage est-il allemand ?,Non Ton personnage est-il devenu connu grâce à Internet ?,Oui Ton personnage est-il jamaïcain ?,Oui Ton personnage a-t-il été roi ?
Alain Juppé,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Alain Le Boulch,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Alain Prost,Oui Ton personnage est-il décédé ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il français ?,Non Ton personnage est-il acteur/actrice ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il devenu connu grâce à Internet ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il jamaïcain ?,Oui Ton personnage a-t-il été roi ?,Oui Ton personnage est-il américain ?
Alain Soral (Essayiste),Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Alan Turing,Non Ton personnage est-il décédé ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il acteur/actrice ?,Non Ton personnage est-il anglais ?
Alan Walker (DJ  britannico-norvégien),Oui Ton personnage est-il décédé ?,Non Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?
Albator,Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Albert Camus,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Albert Einstein,Oui Ton personnage est-il dans le domaine de la musique ?,Non Ton personnage est-il réel ?,Oui La célébrité de ton personnage est-elle en rapport avec le monde du football ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il décédé ?,Oui Ton personnage est-il méchant ? ,Oui Ton personnage fait-il des combats ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il français ?,Oui Ton personnage est-il un homme (ou une femme) politique ?,Oui Est-ce que ton personnage est un animal ?
Albert Jacquard (biologiste français),Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Albus Dumbledore (personnage de Harry Potter),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?
Alduin (personnage de Skyrim),Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage porte-t-il des chaussures ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage possède-t-il des armes ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Oui Ton personnage a-t-il été roi ?
Aleister Crowley ,Oui Ton personnage est-il un tueur ?,Non Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage est-il français ?,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Oui Ton personnage a-t-il un enfant ? ,Non Ton personnage est-il un personnage de jeu vidéo ?
Alex (Totally Spies),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il plus de 50 ans ?
Alex Keryhuel (étudiant INSA),Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Alex Thompson,Oui Ton personnage est-il décédé ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il dans le domaine de la musique ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il américain ?
Alex Vaus (Personnage de serie TV:Orange is the new black),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il un tueur ?,Non Ton personnage a-t-il plus de 50 ans ?,Non Ton personnage a-t-il des cheveux ?,Non Ton personnage est-il méchant ? ,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage possède-t-il des armes ?
Alexandre Benalla,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Alexandre Lacazette,Oui Ton personnage est-il policier ou détective ?,Oui Ton personnage a-t-il joué dans Stargate ?,Oui Ton personnage a-t-il une épée ?,Oui Ton personnage possède-t-il un sabre laser ?,Oui Ton personnage est-il allemand ?,Oui Ton personnage est-il un personnage de série télévisée ?,Oui Ton personnage est-il un dieu ou une déesse ?,Oui Ton personnage est-il anglais ?,Oui Est-ce que ton personnage est un sayan ?,Oui Ton personnage a-t-il un lien avec la bande dessinée ?,Oui Ton personnage est-il portugais ?
Alexandre le Grand ,Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il décédé ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage est-il acteur/actrice ?,Non Ton personnage fait-il des combats ?,Oui Ton personnage a-t-il été président ?
Alfred Hitchcock,Non Ton personnage est-il décédé ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage a-t-il un rapport avec le milieu du sport ?,Non Ton personnage est-il célèbre  ?,Non Ton personnage a-t-il plus de 50 ans ?,Oui Ton personnage a-t-il plus de 35 ans ?,Non Ton personnage a-t-il plus de 35 ans ?,Oui Ton personnage est-il acteur/actrice ?,Oui Ton personnage a-t-il un prénom hors du commun ?
Alice (du livre Alice au pays des merveilles),Oui Ton personnage a-t-il un prénom hors du commun ?,Non Ton personnage a-t-il été roi ?,Non Ton personnage est-il un tueur ?,Oui Ton personnage a-t-il des cheveux ?,Non Ton personnage a-t-il des cheveux ?,Oui Ton personnage vit-il dans un monde imaginaire ?,Oui Ton personnage fait-il des combats ?,Oui Ton personnage est-il célèbre  ?,Non Ton personnage porte-t-il des chaussures ?,Non Ton personnage est-il dans le domaine de la musique ?,Oui Ton personnage est-il un tueur ?
