Axe_X,Axe_Y,Name,Cluster
-25.600233,40.618027,Armel Le Cléac'h,Groupe 0
-30.188889,-4.671462,Arnold Schwarzenegger,Groupe 0
21.915672,-4.455688,Artemis (déesse grecque),Groupe 1
32.8242,-10.759312,Arthas (Roi-Liche de Warcraft),Groupe 1
13.325265,-36.15116,Arthur Morgan (personnage de Red dead Redemption 2),Groupe 1
35.506866,-34.960587,Arya Stark,Groupe 1
-29.5703,4.4953904,Asa Akira,Groupe 2
26.10043,-37.952396,Ashitaka (personnaage film d'animation),Groupe 1
1.5776244,-11.879778,Ashura Ôtsutsuki ,Groupe 3
0.8046123,-12.012112,Aspicot (pokemon)  ,Groupe 3
21.816492,-43.45968,Astérix (personnage de BD),Groupe 0
8.125723,-29.90477,Asuna (Sword Art Online),Groupe 1
0.84726256,-11.338536,Atomic Betty ,Groupe 3
-20.003408,-22.377623,Attila (roi de huns),Groupe 2
11.681706,13.739477,August Ames (rip),Groupe 2
-9.196149,12.912634,Augustin Louis Cauchy (mathématicien français),Groupe 2
-22.666363,40.161575,Aurélie Dupont (directrice opera Paris),Groupe 2
-19.50688,-1.3011357,Axl Rose (chanteur de Guns N' Roses),Groupe 2
-0.12059927,-13.607693,Axoloto ,Groupe 3
-25.552505,27.865477,Aya Nakamura (chanteuse),Groupe 2
1.3681637,-11.342706,Ayano Kannagi ,Groupe 3
-22.980213,25.653551,B2O le duc de Boulogne,Groupe 2
19.082523,-9.815876,Babar (éléphant de dessin animé),Groupe 1
0.7793099,-13.9332075,Babu Frik (personnage de Star Wars),Groupe 3
-11.775878,-16.808596,Bahamut ,Groupe 3
32.869617,-19.127981,Balthazar Picsou ,Groupe 1
0.59256476,-12.5648365,Balthazar/Cole Turner ,Groupe 3
-5.795357,31.619894,Banksy (artiste brittanique),Groupe 2
-19.252033,17.816584,Barack Obama,Groupe 0
18.596949,-10.423725,Barbapapa,Groupe 1
35.460815,-24.176737,Barbie ,Groupe 1
13.899958,-37.658756,Bart,Groupe 1
39.443787,-24.001287,Bart Simpson,Groupe 1
2.9221997,-13.561495,Basile Jézéquel (illustre élève),Groupe 3
20.174976,-43.49692,Batman,Groupe 0
-0.8864959,-10.608509,Baxter Stockman ,Groupe 3
34.686195,-45.88752,Bellatrix Lestrange (perso de Harry Potter),Groupe 1
8.950946,-29.143827,Belle (La Belle et la Bête),Groupe 1
19.981451,-6.534876,Belle et Sébastien,Groupe 3
19.962763,-6.516141,Belphegor ,Groupe 3
-26.548359,-0.66507703,Benedict Cumberbatch,Groupe 2
-21.235594,13.155777,Benjamin Franklin,Groupe 2
-21.295029,42.47714,Benoit Paire (tennisman français),Groupe 2
-5.636771,34.82648,Benyamin Netanyahou (premier ministre Israël)),Groupe 2
-26.659487,36.085506,Bernard Hinault (cycliste français),Groupe 2
-29.878891,23.905867,Bernard Minet (Chanteur),Groupe 2
-29.181692,19.627432,Bernard-Henry Lévy (philosophe imposteur),Groupe 0
-27.488773,23.062338,Betrand Cantat,Groupe 2
-23.623627,4.4959583,Beyoncé,Groupe 0
-25.03856,26.665138,Bilal Hassani (chanteur français),Groupe 2
21.986435,-4.485106,Bilbon Saquet (hobbit),Groupe 1
-17.273928,0.26379302,Bill Clinton (42e président américain),Groupe 2
-16.566376,-0.29465756,Bill Gates,Groupe 2
-17.352678,-2.9015155,Bill Gates (Fondateur de Microsoft),Groupe 0
27.373007,-38.110092,Black Panther (super héros Marvel),Groupe 1
1.8215526,-12.456814,Black Star ,Groupe 3
28.248312,-35.62126,Black Widow (perso de l'univers Marvel),Groupe 1
40.246685,-21.776789,Blair Waldorf (série TV: Gossip Girl),Groupe 1
-5.983046,11.215513,Blaise Pascal,Groupe 2
23.213789,-26.791197,Blanche Neige ,Groupe 1
23.854925,-30.688175,Blondin (le bon la brute et le truand),Groupe 1
-0.8000691,-13.018083,Bob Dylan (chanteur),Groupe 3
40.83079,-26.05637,Bob l'éponge (personnage de dessin animé),Groupe 1
36.47796,-26.728203,Bob le Bricoleur,Groupe 1
-43.29554,15.787499,Bob Lennon (vidéaste français),Groupe 2
9.054989,22.48031,Bob Marley,Groupe 0
