Axe_X,Axe_Y,Name,Cluster,Medoid
-22.471773,-5.0290256,Artemis (déesse grecque),Groupe 5,0
-33.678406,-14.201607,Arthas (Roi-Liche de Warcraft),Groupe 5,0
-32.222572,-5.9967546,Arthur Morgan (personnage de Red dead Redemption 2),Groupe 5,0
-55.992558,-4.3155966,Arya Stark,Groupe 5,0
2.8408053,-21.104887,Asa Akira,Groupe 0,0
-47.27881,-6.6534543,Ashitaka (personnaage film d'animation),Groupe 5,0
-7.123059,15.269873,Ashura Ôtsutsuki ,Groupe 1,0
-5.648231,13.020086,Aspicot (pokemon)  ,Groupe 1,0
-45.107887,-17.069828,Astérix (personnage de BD),Groupe 2,0
-38.56715,9.877849,Asuna (Sword Art Online),Groupe 5,0
-6.1236873,14.023076,Atomic Betty ,Groupe 1,0
0.90100634,-2.3646696,Attila (roi de huns),Groupe 0,0
19.634212,14.626808,August Ames (rip),Groupe 0,0
32.17437,-8.822254,Augustin Louis Cauchy (mathématicien français),Groupe 4,0
6.646666,-11.345249,Axl Rose (chanteur de Guns N' Roses),Groupe 0,0
-6.19204,13.326681,Axoloto ,Groupe 1,0
55.63171,-5.7732763,Aya Nakamura (chanteuse),Groupe 4,0
-4.724221,13.63107,Ayano Kannagi ,Groupe 1,0
57.44355,-4.4833045,B2O le duc de Boulogne,Groupe 4,0
-21.357714,6.1595435,Babar (éléphant de dessin animé),Groupe 5,0
6.2606454,19.81813,Bahamut ,Groupe 1,0
-37.298046,-17.101295,Balthazar Picsou ,Groupe 5,0
-6.382694,12.515925,Balthazar/Cole Turner ,Groupe 1,0
8.940057,-20.950144,Banksy (artiste brittanique),Groupe 0,0
39.303505,-2.547605,Barack Obama,Groupe 2,0
-22.353365,6.419749,Barbapapa,Groupe 5,0
-33.86753,-4.119027,Bart,Groupe 5,0
-51.09415,8.860707,Bart Simpson,Groupe 5,0
-47.37816,-17.205564,Batman,Groupe 2,0
-4.9355626,12.191965,Baxter Stockman ,Groupe 1,0
-46.64497,-11.2330065,Bellatrix Lestrange (perso de Harry Potter),Groupe 5,0
-48.256813,5.2244415,Belle (La Belle et la Bête),Groupe 5,0
-17.472456,-8.678982,Belle et Sébastien,Groupe 1,0
-17.507057,-8.660707,Belphegor ,Groupe 1,0
6.5899153,-4.829421,Benedict Cumberbatch,Groupe 0,0
19.613153,2.6845899,Benjamin Franklin,Groupe 0,0
13.794444,-22.489355,Benyamin Netanyahou (premier ministre Israël)),Groupe 0,0
50.03359,2.5688696,Bernard Hinault (cycliste français),Groupe 4,0
59.710365,-11.121488,Bernard Minet (Chanteur),Groupe 4,0
44.16291,-1.6847165,Bernard-Henry Lévy (philosophe imposteur),Groupe 3,0
61.0943,-7.843466,Betrand Cantat,Groupe 4,0
6.8461914,-16.366362,Beyoncé,Groupe 0,0
56.722908,-6.0958347,Bilal Hassani (chanteur français),Groupe 4,0
-22.482758,-5.046404,Bilbon Saquet (hobbit),Groupe 5,0
3.749522,-9.748017,Bill Clinton (42e président américain),Groupe 0,0
4.2994285,-9.018645,Bill Gates,Groupe 0,0
12.1044035,-13.420118,Bill Gates (Fondateur de Microsoft),Groupe 3,0
-48.479237,-6.8434668,Black Panther (super héros Marvel),Groupe 5,0
-5.287088,11.675954,Black Star ,Groupe 1,0
-49.761574,10.975601,Blair Waldorf (série TV: Gossip Girl),Groupe 5,0
28.1327,-9.130232,Blaise Pascal,Groupe 4,0
-38.965225,-0.76129955,Blanche Neige ,Groupe 5,0
-45.106754,4.2055697,Blondin (le bon la brute et le truand),Groupe 5,0
-53.73912,12.181651,Bob l'éponge (personnage de dessin animé),Groupe 5,0
-50.79345,5.0086365,Bob le Bricoleur,Groupe 5,0
52.43623,-15.2233,Bob Lennon (vidéaste français),Groupe 4,0
26.891874,6.0008907,Bob Marley,Groupe 3,0
-27.231192,3.8834755,Boga (perso animalier de Star Wars),Groupe 5,0
15.877113,-19.208628,Bonno (Chanteur de U2),Groupe 0,0
57.996803,-3.6409469,Booba ,Groupe 4,0
-5.779564,-15.935071,Bouna Sarr,Groupe 0,0
-19.417603,-9.0667305,Bowser (jeu vidéo Mario),Groupe 1,0
-21.064701,-10.494129,Bowser Jr. (jeu vidéo Mario),Groupe 5,0
-41.381653,0.86532,Bowsette (hybride Peach & Bowser),Groupe 5,0
9.280891,-2.975298,Brad Pitt,Groupe 0,0
-40.163334,8.719897,Brice de Nice,Groupe 5,0
5.2666144,16.321207,Brienne de Torth ,Groupe 1,0
48.934757,-3.405144,Brigitte Bardot,Groupe 4,0
49.03232,-3.2466192,Brigitte Macron,Groupe 4,0
-45.199486,-10.690242,Broly (manga dragon ball),Groupe 5,0
25.728716,15.35284,Bruce Lee,Groupe 0,0
-45.105637,14.753162,Bruce Wayne (Batman),Groupe 5,0
13.217112,-3.2221138,Bruce Willis,Groupe 0,0
-6.7934713,11.772058,Bruno Senna ,Groupe 1,0
-24.14571,12.130636,Bulbizarre (pokemon),Groupe 5,0
-24.97793,1.094852,C3PO ,Groupe 5,0
10.939427,-23.907827,Caballero (rappeur),Groupe 0,0
-16.300236,3.0170624,Caca (déesse romaine du foyer et du feu) ,Groupe 5,0
4.794776,25.550278,Caca bouda ,Groupe 1,0
-15.118962,-5.7899275,Caïn (premier fils d'Adam et Eve),Groupe 5,0
-2.7503605,11.817837,Cait Sith ,Groupe 1,0
-21.820448,8.7857685,Caliméro ,Groupe 5,0
0.8499475,-14.2287245,Cam Newton (joueur américain de football américain),Groupe 0,0
30.464254,-7.1123557,Camille Claudel,Groupe 4,0
-53.385525,7.2849383,Candy,Groupe 5,0
-41.412266,7.1516604,Capitaine Flam (personnage dessins animés),Groupe 5,0
-46.104107,7.1561036,Capitaine Haddock,Groupe 5,0
-47.711857,-17.091042,Captain America ,Groupe 5,0
-47.538124,15.531441,Carl ( personnage de The walking dead ),Groupe 5,0
2.7309659,-8.905141,Carl Lewis (athlète américain),Groupe 0,0
20.5363,13.225734,Carl Sagan (scientifique américain),Groupe 0,0
25.814852,-5.788045,Carlos (Tirelipimpon),Groupe 4,0
57.158596,-13.055,Carlos Ghosn,Groupe 4,0
30.469707,-7.1751432,Caroline Aigle (pilote de chasse),Groupe 4,0
-1.8729626,11.973684,Caroline Channing ,Groupe 1,0
21.34841,13.902113,Carrie Fisher (Actrice de Leia),Groupe 0,0
-23.146622,-0.93369484,cars (personnage voiture dessin animé),Groupe 5,0
9.220313,7.5870767,Cartman ,Groupe 1,1
-50.08962,8.8931,Cartman (Personnage de South park),Groupe 5,0
-26.024546,8.056009,Casimir (personnage de vieux dessin animé),Groupe 5,0
-19.118261,1.1529274,Casper,Groupe 5,0
-1.2241272,10.890597,Casquette ,Groupe 1,0
-53.07161,-5.902529,Castiel,Groupe 5,0
