[1.82086383e-01
1.03865568e-01
3.87509784e-02
3.08515043e-02
2.60053306e-02
2.17832410e-02
2.16753438e-02
1.85227305e-02
1.63478868e-02
1.41824868e-02
1.27555205e-02
1.15757741e-02
1.11920428e-02
1.10191166e-02
9.34999066e-03
9.23249648e-03
8.71653662e-03
8.36554032e-03
7.97184265e-03
7.38197753e-03
7.20767485e-03
7.04217722e-03
6.91561418e-03
6.48945793e-03
6.29369018e-03
6.11380333e-03
5.63004432e-03
5.46548371e-03
5.21848017e-03
5.16836831e-03
4.99031765e-03
4.73659634e-03
4.70726328e-03
4.54780130e-03
4.33471610e-03
4.29600714e-03
4.23844459e-03
4.17098950e-03
4.01238176e-03
3.91601369e-03
3.87643931e-03
3.78953484e-03
3.74159044e-03
3.65141940e-03
3.61402268e-03
3.57171269e-03
3.49674728e-03
3.42905112e-03
3.34850808e-03
3.29890374e-03
3.23406001e-03
3.17993870e-03
3.16352244e-03
3.11244192e-03
3.03655132e-03
2.99411325e-03
2.97732229e-03
2.94508892e-03
2.92201070e-03
2.88995252e-03
2.83336552e-03
2.79842184e-03
2.78059702e-03
2.70005429e-03
2.68597020e-03
2.66617735e-03
2.61342754e-03
2.58592290e-03
2.56766351e-03
2.54806020e-03
2.54094577e-03
2.50262216e-03
2.47185119e-03
2.43514675e-03
2.42556218e-03
2.38786131e-03
2.34953302e-03
2.34355499e-03
2.29397249e-03
2.27037188e-03
2.22154192e-03
2.20311728e-03
2.18640264e-03
2.16753485e-03
2.13508937e-03
2.11758505e-03
2.06870327e-03
2.05587203e-03
2.04102196e-03
2.01796850e-03
2.00245183e-03
1.98325176e-03
1.94029608e-03
1.91259651e-03
1.90433469e-03
1.86677319e-03
1.85744217e-03
1.83607785e-03
1.81283833e-03
1.80794603e-03
1.78485828e-03
1.76021175e-03
1.74555222e-03
1.73245712e-03
1.72494879e-03
1.71412721e-03
1.70488133e-03
1.67924220e-03
1.64282292e-03
1.64049130e-03
1.62020482e-03
1.60520647e-03
1.58901958e-03
1.56475515e-03
1.55024358e-03
1.53007695e-03
1.51825463e-03
1.50612976e-03
1.49629100e-03
1.48607260e-03
1.46725804e-03
1.44327746e-03
1.42900290e-03
1.42327400e-03
1.40889532e-03
1.39311942e-03
1.38384479e-03
1.36725799e-03
1.35453099e-03
1.32032370e-03
1.31077233e-03
1.30120198e-03
1.29686297e-03
1.28820116e-03
1.27586121e-03
1.25038225e-03
1.23247693e-03
1.21899097e-03
1.20637898e-03
1.20049705e-03
1.18549707e-03
1.18057893e-03
1.15877029e-03
1.13361786e-03
1.12528515e-03
1.11982458e-03
1.11086636e-03
1.10485842e-03
1.08933847e-03
1.07346872e-03
1.06380721e-03
1.05235827e-03
1.04659636e-03
1.03411557e-03
1.02500271e-03
1.01768391e-03
1.01353861e-03
1.00773607e-03
9.94812082e-04
9.78784861e-04
9.67741737e-04
9.61893117e-04
9.46421635e-04
9.41899922e-04
9.34260988e-04
9.20854921e-04
9.13177582e-04
9.03148819e-04
8.91708720e-04
8.84856227e-04
8.78896135e-04
8.73163526e-04
8.58473326e-04
8.52904967e-04
8.44555499e-04
8.35710393e-04
8.27947800e-04
8.17794505e-04
8.09929347e-04
8.06987968e-04
8.00564590e-04
7.95942161e-04
7.84529875e-04
7.72374909e-04
7.71076245e-04
7.60668521e-04
7.52288306e-04
7.47928226e-04
7.38946270e-04
7.28962085e-04
7.28061254e-04
7.15366073e-04
7.13183458e-04
7.03795013e-04
7.01825370e-04
6.93079175e-04
